Sales Table,,,,,,,,,,,,,,,,,
Company:Nationa Store,,,,,,,,,,,,,,,,,
Department,,,,,,,,,,,,,,,,,
Row ID,Order ID,Order Date,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Customer Rating,Selling Price
1,RA-2016-152156,11/8/2022,CG-12520,Fresh Mart,Retailer,India,Gwalior,Madhya Pradesh,Central,CETAPHIL-2178451,Beauty & Cosmetics,Skin,Cetaphil Moisturising Cream : 80 gms,12579,21,6,599
2,RA-2016-152156,11/8/2022,CG-12520,Fresh Mart,Retailer,India,Gwalior,Madhya Pradesh,Central,CETAPHIL-2178452,Beauty & Cosmetics,Skin,Cetaphil Moisturising Lotion : 500ml,36777,23,9,1599
3,MA-2016-138688,6/12/2022,DV-13045,Savera Lassi Shop,Restaurants,India,Mumbai,Maharashtra,West,NEUTROGENA-2178453,Beauty & Cosmetics,Skin,Neutrogena Hydro Boost Water Gel : 50 gms,14950,13,8,1150
4,KA-2015-108966,10/11/2023,SO-20335,Daily Needs Bazaar,Retailer,India,Ludhiana,Punjab,North,CETAPHIL-2178454,Beauty & Cosmetics,Skin,Cetaphil Brightening Day Protection Cream SPF 15 : 50 gms,10800,10,5,1080
5,KA-2015-108966,10/11/2023,SO-20335,Daily Needs Bazaar,Retailer,India,Ludhiana,Punjab,North,CETAPHIL-2178455,Beauty & Cosmetics,Skin,Cetaphil Daily Advance Ultra Hydrating Lotion : 100 gms,13608,24,6,567
6,MA-2014-115812,6/9/2022,BH-11710,The Spice Cart,Retailer,India,Gurgaon,Haryana,North,LAKME-2178456,Beauty & Cosmetics,Skin,Lakme Lumi Skin Cream : 30 gms,7475,25,5,299
7,MA-2014-115812,6/9/2022,BH-11710,The Spice Cart,Retailer,India,Gurgaon,Haryana,North,LOTUS-2178457,Beauty & Cosmetics,Skin,Lotus Herbals Youthrx Anti Ageing Transforming Crème : 50 gms,18120,24,7,755
8,MA-2014-115812,6/9/2022,BH-11710,The Spice Cart,Retailer,India,Gurgaon,Haryana,North,LAKME-2178458,Beauty & Cosmetics,Skin,Lakme 9to5 Vitamin C+ Day Cream : 50 gms,7875,21,8,375
9,,,,,,,,,,,,,,,,,
10,MA-2014-115812,6/9/2022,BH-11710,The Spice Cart,Retailer,India,Gurgaon,Haryana,North,OLAY-2178460,Beauty & Cosmetics,Skin,Olay Natural Aura Instant UV Protection Glowing Cream : 40 gms,3184,16,6,199
11,MA-2014-115812,6/9/2022,BH-11710,The Spice Cart,Retailer,India,Gurgaon,Haryana,North,FACES-2178461,Beauty & Cosmetics,Skin,Faces Canada Peaches N Cream Tinted Moisturizer : 35 gms,14975,25,9,599
12,MA-2014-115812,6/9/2022,BH-11710,The Spice Cart,Retailer,India,Gurgaon,Haryana,North,OLAY-2178462,Beauty & Cosmetics,Skin,Olay Total Effects 7InOne Normal SPF 15 Day Cream : 50 gms,24674,26,8,949
13,MA-2014-115812,6/9/2022,BH-11710,The Spice Cart,Retailer,India,Gurgaon,Haryana,North,L'OREAL-2178463,Beauty & Cosmetics,Skin,L'Oreal Paris Revitalift Cream For Women : 50 ml,,0,,
14,WE-2017-114412,4/15/2023,AA-10480,Nature’s Basket,Retailer,India,Amritsar,Punjab,North,SIMPLE-2178464,Beauty & Cosmetics,Skin,Simple Hydrating Light Moisturiser : 125 ml,7440,16,6,465
15,TA-2016-161389,12/5/2022,IM-15070,Farm to Fork,Retailer,India,Jalandhar,Punjab,North,NATURE'S-2178465,Beauty & Cosmetics,Skin,Nature's Moisturizing Essence Aloe Beauty Gel : 100 gms,1300,13,5,100
16,UT-2015-118983,11/22/2023,HP-14815,CityMart Superstore,Super Store,India,Gurgaon,Haryana,North,L'OREAL-2178466,Beauty & Cosmetics,Skin,L'Oreal Paris Glycolic Bright Glowing Night Cream : 50 ml,12733,17,7,749
17,UT-2015-118983,11/22/2023,HP-14815,CityMart Superstore,Super Store,India,Gurgaon,Haryana,North,FACES-2178467,Beauty & Cosmetics,Skin,Faces Canada Hydro Face Moisturizer : 100 ml,6589,11,8,599
18,GU-2014-105893,11/11/2022,PK-19075,The Grocery Hub,Retailer,India,Dehradun,Uttarakhand,North,L'OREAL-2178468,Beauty & Cosmetics,Skin,L'Oreal Paris Revitalift Cream For Women : 15 ml,11638,22,6,529
19,TE-2014-167164,5/13/2022,AG-10270,Harvest Groceries,Retailer,India,Bhubaneswar,Odisha,East,LOTUS-2178469,Beauty & Cosmetics,Skin,Lotus Make-Up Xpress Glow 10-In-1 Daily Beauty Crème : 30 gms,5460,14,8,390
20,MA-2014-143336,8/27/2022,ZD-21925,Pure & Fresh Grocery,Retailer,India,Patna,Bihar,East,SOULFLOWER-2178470,Beauty & Cosmetics,Skin,Soulflower Acne Clearout Spot Corrector : 15 ml,10350,23,1,450
21,MA-2014-143336,8/27/2022,ZD-21925,Pure & Fresh Grocery,Retailer,India,Patna,Bihar,East,LOTUS-2178471,Beauty & Cosmetics,Skin,Lotus Make-Up Xpress Glow 10-in-1 Beauty Cream SPF 25 : 30 gms,8190,21,8,390
22,MA-2014-143336,8/27/2022,ZD-21925,Pure & Fresh Grocery,Retailer,India,Patna,Bihar,East,NEUTROGENA-2178472,Beauty & Cosmetics,Skin,Neutrogena Bright Boost Gel Cream Face Moisturizer : 15 gms,4950,11,8,450
23,BI-2016-137330,12/9/2022,KB-16585,Mainy Lassi Shop,Restaurants,India,Jodhpur,Rajasthan,West,CETAPHIL-2178473,Beauty & Cosmetics,Skin,Cetaphil Optimal Hydration Daily Cream : 50 gm,31250,25,5,1250
24,BI-2016-137330,12/9/2022,KB-16585,Mainy Lassi Shop,Restaurants,India,Jodhpur,Rajasthan,West,POND'S-2178474,Beauty & Cosmetics,Skin,Pond's Super Light Gel Oil Fresh Moisturiser : 200 ml,9980,20,8,499
25,PU-2017-156909,7/16/2023,SF-20065,Grain & Spice Store,Retailer,India,Bhubaneswar,Odisha,East,GARNIER-2178475,Beauty & Cosmetics,Skin,Garnier Bright Complete 30x Vitamin C Booster Face Serum : 15 ml,6578,22,10,299
26,TE-2015-106320,9/25/2023,EB-13870,Fresh Cart Groceries,Retailer,India,Agra,Uttar Pradesh,North,PLUM-2178476,Beauty & Cosmetics,Skin,Plum Vitamin C Face Serum With Mandarin : 20 ml,11550,21,9,550
27,MA-2016-121755,1/16/2022,EH-13945,Green Earth Organics,Retailer,India,Ludhiana,Punjab,North,L'OREAL-2178477,Beauty & Cosmetics,Skin,L'Oreal Revitalift 1.5% Hyaluronic Acid Serum : 30 ml,9990,10,10,999
28,MA-2016-121755,1/16/2022,EH-13945,Green Earth Organics,Retailer,India,Ludhiana,Punjab,North,LAKME-2178478,Beauty & Cosmetics,Skin,Lakme 9to5 Vitamin C+ Facial Serum : 30 ml,7139,11,7,649
29,PU-2015-150630,9/17/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,THE-2178479,Beauty & Cosmetics,Skin,The Derma Co 2% Kojic Acid Face Serum : 30 ml,5489,11,3,499
30,PU-2015-150630,9/17/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,OLAY-2178480,Beauty & Cosmetics,Skin,Olay Total Effects 7InOne Daily Serum : 50 ml,17982,18,9,999
31,,,,,,,,,,,,,,,,,
32,PU-2015-150630,9/17/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,SOULFLOWER-2178482,Beauty & Cosmetics,Skin,Soulflower Brightening Wand Face Serum : 15 ml,4500,10,10,450
33,PU-2015-150630,9/17/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,FACES-2178483,Beauty & Cosmetics,Skin,Faces Canada Glow Lift Serum Dragon Fruit : 27 ml,5490,10,8,549
34,PU-2015-150630,9/17/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,DOT-2178484,Beauty & Cosmetics,Skin,Dot & Key Pomegranate Miracle Collagen Boost Retinol Youth Serum : 25 ml,9520,16,10,595
35,PU-2015-150630,9/17/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,DOT-2178485,Beauty & Cosmetics,Skin,Dot & Key Cica & Cactus 2% Salicylic + Zinc Skin Clearing Serum : 20 ml,7182,18,4,399
36,PU-2015-150630,9/17/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,L'OREAL-2178486,Beauty & Cosmetics,Skin,L'Oreal Revitalift Crystal Micro Essence : 65 ml,17578,22,8,799
37,UT-2017-107727,10/19/2023,MA-17560,GlobalGoods Hypermarket,Super Store,India,Gurgaon,Haryana,North,LAKME-2178487,Beauty & Cosmetics,Skin,Lakme Absolute Perfect Radiance Serum : 15 ml,5382,18,6,299
38,UT-2016-117590,12/8/2022,GH-14485,Tadmaash UB City,Restaurants,India,Prayagraj,Uttar Pradesh,North,LAKME-2178488,Beauty & Cosmetics,Skin,Lakme Absolute Youth Infinity Serum : 15 ml,10479,21,6,499
39,UT-2016-117590,12/8/2022,GH-14485,Tadmaash UB City,Restaurants,India,Prayagraj,Uttar Pradesh,North,FACES-2178489,Beauty & Cosmetics,Skin,Faces Canada Pink Aloe Fresh Eyes Serum : 15 ml,5490,10,10,549
40,UT-2015-117415,12/27/2023,SN-20710,Prime SuperMart,Super Store,India,Surat,Gujarat,West,OLAY-2178490,Beauty & Cosmetics,Skin,Olay Luminous Tone Perfecting Hydrating Essence : 7 ml,9074,26,5,349
41,UT-2015-117415,12/27/2023,SN-20710,Prime SuperMart,Super Store,India,Surat,Gujarat,West,LAKME-34632589,Beauty & Cosmetics,Face,Lakme Perfecting Liquid Foundation - Pearl : 27 ml,2926,14,3,209
42,UT-2015-117415,12/27/2023,SN-20710,Prime SuperMart,Super Store,India,Surat,Gujarat,West,BLUE-34632590,Beauty & Cosmetics,Face,Blue Heaven HD All In One Makeup Stick - Vanilla Very Fair : 10 gms,2400,15,10,160
43,UT-2015-117415,12/27/2023,SN-20710,Prime SuperMart,Super Store,India,Surat,Gujarat,West,MAYBELLINE-34632591,Beauty & Cosmetics,Face,Maybelline New York Foundation Tube - 115 Ivory : 18 ml,7567,23,1,329
